pig_id ,day   ,start_time     ,take_off_1     ,put_on_1       ,take_off_2     ,put_on_2       ,end_time
FL-033 ,day_2 ,6/6/12 5:30    ,6/6/12 10:00   ,6/6/12 12:45   ,6/6/12 15:45   ,6/6/12 17:15   ,6/6/12 22:35
FL-033 ,day_3 ,6/7/12 7:00    ,               ,               ,               ,               ,6/7/12 8:00
FL-035 ,day_0 ,6/21/12 9:00   ,               ,               ,               ,               ,6/21/12 20:00
FL-035 ,day_1 ,6/22/12 6:20   ,6/22/12 18:45  ,6/22/12 19:00  ,               ,               ,6/22/12 0:45
FL-035 ,day_2 ,6/23/12 8:40   ,6/23/12 18:45  ,6/23/12 19:00  ,               ,               ,6/23/12 22:30
FL-035 ,day_3 ,               ,               ,               ,               ,               ,
FL-036 ,day_0 ,7/4/12 9:59    ,7/4/12 12:30   ,7/5/12 7:40    ,               ,               ,
FL-036 ,day_1 ,7/5/12 7:40    ,               ,               ,               ,               ,
FL-036 ,day_2 ,7/6/12 7:10    ,7/6/12 15:30   ,7/6/12 15:35   ,               ,               ,7/6/12 23:30
FL-036 ,day_3 ,7/7/12 8:57    ,               ,               ,               ,               ,7/7/12 13:25
